name,event,date,speakers,rate,link
Симфония GigaIDE: от идеи до готовой платформы,JPoint,3–4 апреля,Владимир Ярославский,,
Jakarta Data. Что это означает для Java-сообщества?,JPoint,3–4 апреля,Михаил Поливаха,,
Как избавиться от рекурсии и исправить глупую ошибку в Google,JPoint,3–4 апреля,Максим Сидоров,,
Верстка не поехала: как тестировать интерфейсы без боли,Heisenbug,5–6 апреля,"Дарья Каткова,Чугунова Алевтина",,
Простоту охота навести: как легко тестировать клиент-серверные взаимодействия на примере WebSocket,Heisenbug,5–6 апреля,Максим Попов,,
Система без теней: полный цикл наблюдаемости в современных приложениях,DevOpsConf,7–8 апреля,Александр Козлов,,
vGPU в K8s — как перестать считать видеокарты для контейнеров,DevOpsConf,7–8 апреля,Данила Гудынин,,
Как управлять горизонтальным масштабированием в больших проектах с помощью собственного on-premise-автоскейлера,DevOpsConf,7–8 апреля,Илья Семёнов,,
Круглый стол «Мультиоблачные и гибридные решения: как организовать коммуникации между различными частями инфраструктуры,DevOpsConf,7–8 апреля,Максим Чудновский,,
Воркшоп «Масштабируем K8s: от классики до event-driven-подхода»,DevOpsConf,7–8 апреля,Илья Смирнов,,
Как мы создаём и обслуживаем тысячи кластеров Kubernetes в Сбере,DevOpsConf,7–8 апреля,Антон Саросек,,
"Dogfooding as a Service — как «сломать» продукт так, чтобы команда тебе была благодарна",DevOpsConf,7–8 апреля,Валерия Солодовникова,,
Круглый стол «Я знаю три SLOва...»,DevOpsConf,7–8 апреля,Антон Быстров,,
Круглый стол «Можно ли сделать в России Zero-Trust Network Access»,DevOpsConf,7–8 апреля,Всеслав Соленик,,
От DevOps-инженеров к сервисным DevOps-командам,DevOpsConf,7–8 апреля,Рашид Галиев,,
TypeScript на максималках: практические кейсы из жизни большого проекта,HolyJS,7–8 апреля,Константин Логиновских,,
RxJS: Великий и Ужасный. Описываем сложную асинхронную логику вне зависимости от стека,HolyJS,7–8 апреля,Николай Пугачев,,
Sideloading и узник Apple,Mobius 2025 spring,9–10 апреля,Владимир Коржев,,
Нюансы работы Android Runtime в сравнении с HotSpot VM,Mobius 2025 spring,9–10 апреля,"Максим Сидоров,Максим Митюшкин",,
SQLite. Невероятно быстро,Mobius 2025 spring,9–10 апреля,Михаил Поливаха,,
Garbage Collection. Где мы сейчас,DUMP,25 Апрель,Михаил Поливаха,,
Advanced TypeScript: тестирование сложных утилитарных типов в реальных проектах,DUMP,25 Апрель,Константин Логиновских,,
Как вайбкодить автотесты: Быстрое путешествие — зашли и вышли,DUMP,25 Апрель,Сергей Ботнарь,,
"Типизация по disk, поколениям, mbti: худшее, что можно придумать для работы с командой",DUMP,25 Апрель,Михеев Глеб,,
Как перестать ругаться и начать договариваться. Взгляд технического менеджера,DUMP,25 Апрель,Михеев Глеб,,
Как весело и полезно потратить сгорающие токены языковых моделей,DUMP,25 Апрель,Кирилл Овчинников,,
LLM self-play v0: синтетические данные pretrain,DUMP,25 Апрель,Иван Басков,,
Как избежать регулярной катастрофы? Учимся на чужих ошибках,DUMP,25 Апрель,Алексей Лобанов,,
Как научить роботов думать и действовать: перспективы и сложности умной робототехники,DUMP,25 Апрель,Алексей Постников,,
"Как компании подготовиться и пережить HighSeason, если вводных мало",DUMP,25 Апрель,Вячеслав Кудряшов,,
"Падения как часть пути, или По другую сторону отказоустойчивости",Flow,26 Апрель,Максим Чернухин,,
Просто дай процессу появиться,Flow,26 Апрель,Валерия Солодовникова,,
Все еще ходите за метриками в BI? Как мы экспериментировали с LLM и не пRAGадали,IML,16–17 мая,Сергей Волков,,
Методы и инструменты разработки мультиагентных систем,IML,16–17 мая,Дмитрий Бугайченко,,
Кто такие эти ваши «мультимодалки» и почему все о них говорят? Взгляд со стороны Computer Vision,IML,16–17 мая,Алексей Попов,,
GigaEmbeddings,IML,16–17 мая,"Дарья Хомич,Егор Колодин",,
Обучение Mixture of Experts в GigaChat,IML,16–17 мая,Евгений Косарев,,
Не думай о наносекундах свысока: искусство создания производительного кода,Positive Hack Days Fest,22–24 мая,Владимир Ярославский,,
За гранью IoC: раскрытие полного потенциала аналитики киберугроз,Positive Hack Days Fest,22–24 мая,"Данил Смирнов,Сергей Смирнов",,
С чего начинается кибербез: создаем безопасное цифровое пространство,Positive Hack Days Fest,22–24 мая,Илья Бичаров,,
Цифровые усилители в колонках и что там реверсить,Positive Hack Days Fest,22–24 мая,Михаил Чуриков,,
Битва веб-фреймворков,Positive Hack Days Fest,22–24 мая,Оксана Емеличева,,
Моделирование угроз для искусственного интеллекта,Positive Hack Days Fest,22–24 мая,"Дмитрий Сивков,Артем Семенов",,
802.11 + Linux: под капотом,Positive Hack Days Fest,22–24 мая,Арсений Краснов,,
SSO в миллиарде Кейклоков,Positive Hack Days Fest,22–24 мая,"Валерия Епифанова,Бутенко Алексей",,
Fork to be rock: эффективное сопровождение ядра Linux,Positive Hack Days Fest,22–24 мая,Дмитрий Рокосов,,
"Apache Arrow: быстрее, ниже, сложнее",Positive Hack Days Fest,22 Май,Евгений Глотов,,
Ускорение вычислений в алгоритме DRS виртуализации через векторизацию,Golang conf,4 Июнь,Игорь Вагулин,,
"Дискуссия «ИИ в разработке: мечта менеджера, кошмар инженера»",IT SEC,5 Июнь,Игорь Захарин,,
Дискуссия «Контейнеризация ответственности: зрелость решений или зрелость иллюзий»,IT SEC,5 Июнь,Алексей Подольский,,
Применение kyverno в крупной компании,IT SEC,5 Июнь,Александр Телевной,,
Дискуссия “Безопасная разработка в финтехе: вызовы-2025”,IT SEC,5 Июнь,Алексей Щербаков,,
Почему нас бесит код-ревью и как с этим бороться?,TechLead Conf,5 Июнь,Антон Виноградов,,
Круглый стол «Техлид и развитие в Individual Contributor: как превратить код в карьеру»,TechLead Conf,5 Июнь,Михеев Глеб,,
Сопровождение #каквсбере: СУБД на Java в критичных системах,HighLoad++,24 Июнь,Илья Шишков,,
Аспект DDD и GraphQL в задачах построения высоконагруженных интеграционных систем,HighLoad++,24 Июнь,Виктор Бирюков,,
MLOps-архитектура рекомендательной платформы,HighLoad++,24 Июнь,Деннис Хассан,,
Обучение GigaChat MAX,HighLoad++,24 Июнь,Евгений Косарев,,
Как мы строили хранилище на 30+ Пб данных для AI и не планируем останавливаться,HighLoad++,24 Июнь,Александр Непочатых,,
"Кто написал код? Об авторских правах на код, написанный с помощью AI",HighLoad++,24 Июнь,Ирина Шахтарина,,
"Интеграция Keycloak с Airflow, MLFlow, Superset и сервисами мониторинга",HighLoad++,24 Июнь,Алексей Фролов,,
Как сэкономить гигабайты памяти в Istio Sidecars,HighLoad++,24 Июнь,Максим Чудновский,,
Система аналитики в реальном времени на 5 млрд событий в день c помощью ClickHouse,HighLoad++,24 Июнь,Андрей Березин,,
AI в фронтенд-разработке: от технических инноваций к бизнес-трансформации,PROIT fest,5-6 июля,Роман Ганин,,
"Прошлое, настоящее и будущее UX-исследований в E-Com",PROIT fest,5-6 июля,Антон Шаров,,
Mудаки – как с ними не работать,PROIT fest,5-6 июля,Олег Чирухин,,
Круглый стол: Базовая гигиена,PROIT fest,5-6 июля,Антон Быстров,,
AI для топов: как это отражается на жизни топов,PROIT fest,5-6 июля,Константин Куликов,,
Python + Kubernetes: расширяем операторы и ресурсы без переписывания,Pycon Russia,25-26 июля,Арсен Гумин,,
"Как мы встраивали ИИ-агентов в банковскую систему: что получилось, а что пошло не так",Pycon Russia,25-26 июля,Кирилл Овчинников,,
Создание чат-бота с памятью,Pycon Russia,25-26 июля,Павел Гуляев,,
"Оценка моделей генерации кода: практика, ловушки и реальные бенчмарки на Python",Pycon Russia,25-26 июля,Павел Задорожный,,
Автоматизация и масштабирование хаос-тестов в enterprise,Перфоманс Конф,5 августа,Ноздрин Юрий,,
Сжимаем ресурсы java в контейнерах. 80% результата за 20% времени и без ООМ,Перфоманс Конф,5 августа,Никулин Денис,,
MALVINA: AI-фотошоп для удаления бывших с фото,IT Пикник,16 августа,Александр Капитанов,,
GigaChat как личный ассистент менеджера: 3 кейса автоматизации рутины,IT Пикник,16 августа,Екатерина Зинченко,,
Как большие данные помогают принимать решения: опыт Сбера,IT Пикник,16 августа,Степан Гусев,,
Эволюция мультимодальных и мультиагентных систем,IT Пикник,16 августа,Иван Оселедец,,
Методы выявления узких мест системы,perconf,9 сентября,Денис Бережной,,
Доверие и коммуникация. Альфа и омега управления командой,perconf,9 сентября,Александр Жульков,,
Сжимаем ресурсы java в контейнерах. 80% результата за 20% времени и без ООМ,perconf,9 сентября,Денис Никулин,,
Создание универсального AI-агента на базе GigaChain,BTN,12 сентября,Крестников Константин,,
От AI инструментов к автономному будущему,BTN,12 сентября,Илья Литвиненко,,
"Квартирник ""Как разрабатывать агентов и найти новую ценность""",BTN,12 сентября,Дмитрий Бугайченко,,
Жизнь за пределами кода: чем вдохновляются разработчики,BTN,12 сентября,Павел Богомолов,,
Генеративные агенты в действии: автоматизация процессов через LLM и мультиагентные сценарии,BTN,12 сентября,Кузнецов Андрей,,
Malvina — AI-решение для инструктивного редактирования визуального контента,BTN,12 сентября,Капитанов Александр,,
AI SRE: AI Agent как напарник инженера,BTN,12 сентября,Сергей Шапошников,,
"Ландшафты бигтеха: локальный взгляд, глобальный опыт",BTN,12 сентября,Рафаел Тонаканян,,
AI&code: синергия будущего,BTN,12 сентября,Александр Мазько,,
Дискуссия Project Fusion: магия совместных запусков,BTN,12 сентября,Анатолий Шипов,,
"Игра ""Синхронизация""",BTN,12 сентября,Роман Троицкий,,
Независимые бенчмарки для русского языка,E-CODE,14 сентября,Алена Феногенова,,
Рецепты хороших данных для работы ИИ-агентов,scorconf,17 сентября,Юлдуз Фаттахова,,
Панельная дискуссия: «ИИ: развиваем вместе или каждый играет за себя?»,scorconf,17 сентября,Иван Хлебников,,
Работа над качеством данных — вершина айcберга или дно впадины?,Data Internal X,23 сентября,Ирина Шахтарина,,
Гибкая настройка параметров запуска spark приложений,Data Internal X,23 сентября,Евгений Милин,,
Рецепты приготовления AI-ready контента в BI,Data Internal X,23 сентября,Евгений Семенюк,,
Все еще ходите за метриками в BI? Как мы экспериментировали с LLM и не пRAGадали,Data Internal X,23 сентября,Сергей Волков,,
Круглый стол – открытый микрофон «Как вырастить специалиста по базам данных?»,Data Internal X,23 сентября,Николай Ижиков,,
Как мы пришли к централизованной авторизации BigData. Путь от Standalone до CloudNative,Data Internal X,23 сентября,Игорь Захарин,,
Как построить систему контроля качества на производстве умных устройств и зачем она нужна на фабриках-партнёрах,Industrial++,25 сентября,"Алексей Новиков,Сергей Мироненко",,
Применение AI для повышения эффективности сотрудников и аналитической функции,Banks IT day,25 сентября,Андрей Духовный,,
GenAI Трансформация бизнеса – СТО как фасилитатор изменений,Banks IT day,25 сентября,Денис Малахов,,
"Мастер-класс ""Добавление памяти в чат-бот""",AiConf,26 сентября,Павел Гуляев,,
"Панельная дискуссия ""Оценка LLM-моделей: почему бенчмаркам нельзя верить""",AiConf,26 сентября,"Алена Феногенова,Александр Капитанов",,
"Панельная дискуссия ""Риски и ошибки AI в SDLC: чему мы научились после эйфории 2024""",AiConf,26 сентября,Александр Абрамов,,
Эволюция Pretrain данных для Gigachat: методы и эксперименты,AiConf,26 сентября,Айнур Исрафилова,,
"Панельная дискуссия «Гиперперсонализация — новая реальность: как ИИ трансформирует продукты, сервисы и мир»",AiConf,26 сентября,"Дмитрий Антипов,Дмитрий Юдин",,
Эффективная подготовка данных для обучения современных моделей text-to-image и text-to-video,Practical ML conf,27 сентября,Иван Кириллов,,
Оптимизация обучения и инференса моделей для генерации видео на множестве GPU,Practical ML conf,27 сентября,Мария Ковалева,,
Создание памяти для LLM на примере GigaChat,Practical ML conf,27 сентября,Павел Гуляев,,
Как стать неудобным и вырасти в карьере,Flow,3–4 октября,Михаил Ромашов,,
Внедрение GenAI в Enterprise: от экспериментов к надежной реальности,Flow,3–4 октября,Вячеслав Кудряшов,,
Ускоряем запуск JVM. Соревнуемся с leyden,Joker,17–18 октября,Юрий Баринов,,
ThreadLocal устарел? Детальное сравнение со ScopedValue,Joker,17–18 октября,Александр Маторин,,
Spring AOT: кодогенерация на стероидах,Joker,17–18 октября,Михаил Поливаха,,
Kotlin flow через призму реальных задач в SberDevices: решение проблем callback hell и backpressure,Joker,17–18 октября,Максим Сидоров,,
AI-генерация тестовых данных,Heisenbug,19–20 октября,Артем Симешин,,
Собеседование QA под нейросетью: когда ИИ говорит «Да»,Heisenbug,19–20 октября,"Евгений Гребенщиков,Михаил Новотарский",,
От старых окон к новым пингвинам: лайфхаки тестирования миграции ОС,Heisenbug,19–20 октября,"Леонид Глазков,Владимир Евдокимов",,
Автогенерация тестов в IDE: как RAG + LLM превращают ручные сценарии в код,Heisenbug,19–20 октября,"Александр Поляков,Михаил Новотарский",,
Пусть говорят: как интерфейс заговорил на языке доступности,Heisenbug,19–20 октября,"Дарья Каткова,Алевтина Чугунова",,
Что там с React Compiler,FrontendConf,20–21 октября,Антон Непша,,
Утечки* NextJS. Расследование на миллион,FrontendConf,20–21 октября,Вадим Королев,,
"Web Vitals не хватило: что мы измеряем, чтобы понимать реальную производительность",FrontendConf,20–21 октября,Андрей Шабанов,,
Как пройти в библиотеку?,FrontendConf,20–21 октября,Егор Левченко,,
PWA Сбербанк Онлайн,FrontendConf,20–21 октября,Дмитрий Кузнецов,,
Строим строго типизированный роутинг,FrontendConf,20–21 октября,Константин Логиновских,,
ИИ-агенты: новая эра фронтенда и трансформация роли разработчика,FrontendConf,20–21 октября,Юрий Митус,,
Особенности тестирования операционных систем,SQA Days,24 октября,"Леонид Глазков,Владимир Евдокимов",,
Генерация тест-кейсов на основе требований с помощью AI: От идеи до мультиагентной системы,SQA Days,24 октября,Евгений Гребенщиков,,
Тестировочный плагин: от TMS до кода без рутины,SQA Days,24 октября,Александр Поляков,,
Кто это? Что это? Рецепт обучения VLM для запоминания именованных сущностей.,HighLoad++,6–7 ноября,"Завен Мартиросян,Дмитрий Балиев",,
Чему нас научили 24 миллиарда событий в сутки: уроки эксплуатации ClickHouse,HighLoad++,6–7 ноября,Сергей Волков,,
Измеряем настоящую цену абстракций в JavaScript,HolyJS,20–21 ноября,Юрий Карпов,,